x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.770315051,0.852464557,-3.98E-08,0.707312882,0.781257153,-0.020420704,0.675556183,0.667010307,-0.028612368,0.666164637,0.576674879,-0.038042895,0.651847482,0.507436931,-0.047251165,0.737037659,0.556158721,-0.004447049,0.732681692,0.446512103,-0.024567157,0.729909122,0.381095976,-0.04430227,0.727563083,0.323873162,-0.059781682,0.780592144,0.554901063,-0.011011811,0.783598125,0.433997512,-0.028342145,0.782663643,0.357389271,-0.046854887,0.779464781,0.292796403,-0.061486594,0.819749832,0.578880489,-0.022411883,0.8282215,0.465590417,-0.040219899,0.827940226,0.392691255,-0.0568415,0.822653592,0.33106935,-0.069223478,0.85692203,0.622700989,-0.036559299,0.871308863,0.538454354,-0.05166978,0.873300374,0.481882006,-0.061337791,0.870118976,0.430643678,-0.068910047,H
0.773268759,0.850222111,2.13E-07,0.706877887,0.778708041,-0.026409546,0.658744097,0.676402807,-0.041171789,0.621396184,0.597885549,-0.055886127,0.58080256,0.548842013,-0.07061737,0.730448067,0.543944955,-0.011377385,0.724333823,0.430588901,-0.028859084,0.720947266,0.365532517,-0.046973564,0.718143344,0.310060233,-0.061184615,0.77633214,0.542862713,-0.015598491,0.78388387,0.422159851,-0.028527521,0.787334144,0.35025245,-0.043657683,0.789290071,0.293112755,-0.055972755,0.818472624,0.569351137,-0.025118688,0.829607129,0.456740767,-0.037728872,0.834174991,0.388636887,-0.052510191,0.836229384,0.332777143,-0.064133659,0.85863775,0.615151942,-0.038177241,0.878960133,0.530597031,-0.04823472,0.889174223,0.475271702,-0.055723216,0.897367358,0.424530625,-0.06209705,H
0.821722031,0.680188596,4.61E-08,0.74082166,0.661131918,-0.024540789,0.670741618,0.589595973,-0.031747449,0.622664511,0.522074699,-0.037944332,0.583631039,0.47585842,-0.042494081,0.684914231,0.475576699,0.000736454,0.641319633,0.386451483,-0.011595814,0.616437674,0.33725071,-0.025345679,0.59414041,0.295260549,-0.03640072,0.721622467,0.447145045,0.0007674,0.678636372,0.353268415,-0.008707479,0.651657641,0.296228468,-0.022163387,0.625963807,0.250678182,-0.03266459,0.762345076,0.439776868,-0.004524591,0.726300597,0.351434052,-0.016151402,0.702454329,0.296266973,-0.029771391,0.678709567,0.249952197,-0.039221004,0.808612406,0.446423352,-0.012738131,0.785497069,0.374362528,-0.022921331,0.767172396,0.327514172,-0.030245103,0.749189138,0.284999758,-0.035517812,H
0.765390158,0.760425329,1.64E-07,0.702311873,0.682050645,-0.026553201,0.67037034,0.567712486,-0.038803473,0.660028458,0.474164605,-0.04996701,0.64280951,0.403546035,-0.060323283,0.744617939,0.454541504,-0.011322976,0.746619046,0.342708409,-0.029535089,0.75063926,0.27609539,-0.048042823,0.754891336,0.218722403,-0.062755078,0.790582359,0.460357666,-0.014545064,0.805218756,0.34369868,-0.029101219,0.815107048,0.270576656,-0.045792043,0.822216272,0.20877406,-0.059053488,0.829779387,0.491728425,-0.022757398,0.846936822,0.383146703,-0.037896521,0.856314063,0.313320994,-0.053505205,0.862805605,0.252767146,-0.06524913,0.865873158,0.541662335,-0.034126803,0.889400661,0.457628012,-0.0476496,0.901909351,0.402218878,-0.056450225,0.913098991,0.350969702,-0.063049063,H
0.806858182,0.729141772,3.86E-08,0.731068611,0.68009454,-0.025087025,0.671103358,0.585196018,-0.035199098,0.625528872,0.505662858,-0.04536375,0.582667887,0.454559267,-0.054761894,0.698697507,0.458226591,-0.002316998,0.658918619,0.3586573,-0.019979872,0.635736108,0.298242986,-0.038165148,0.616833925,0.246067584,-0.052732367,0.741367877,0.43784377,-0.005765385,0.710444748,0.326012611,-0.019916773,0.690746844,0.257663161,-0.035258211,0.671132624,0.199809611,-0.047162853,0.786391437,0.444779873,-0.014779837,0.763037503,0.338560522,-0.029054919,0.747611165,0.272807956,-0.041799221,0.731307089,0.215260252,-0.0511753,0.834412456,0.471678197,-0.027196931,0.82268554,0.388918698,-0.038973365,0.811773777,0.33336401,-0.04518098,0.799461782,0.282037705,-0.049870685,H
0.792788267,0.750326753,1.48E-07,0.731685877,0.671837926,-0.023684723,0.698827028,0.558468282,-0.033357807,0.682879925,0.465095043,-0.042841349,0.663202524,0.394824237,-0.051105369,0.766492844,0.446751833,-0.00147923,0.769911408,0.334683597,-0.01683238,0.774067998,0.26965344,-0.033911727,0.778434992,0.213450313,-0.04755152,0.810755789,0.451631129,-0.004761057,0.820202291,0.334834874,-0.016020345,0.826074541,0.262429118,-0.03147728,0.830447137,0.201353103,-0.043872666,0.851085126,0.48010239,-0.013174403,0.862592518,0.37301755,-0.024788411,0.867288888,0.305415958,-0.037792929,0.869253635,0.247538254,-0.04774322,0.889367342,0.52672261,-0.024892351,0.907372952,0.442767859,-0.034920469,0.915171206,0.388002574,-0.041059058,0.922228694,0.33834967,-0.045708481,H
0.827519953,0.707240224,1.10E-08,0.745254099,0.656795025,-0.025430897,0.679437637,0.561465859,-0.036618583,0.633763909,0.48052001,-0.048309639,0.591410339,0.425035357,-0.059183795,0.718710244,0.423471808,-0.000956706,0.678119719,0.319310963,-0.019091453,0.654263556,0.257640004,-0.038529418,0.635202765,0.204774439,-0.054001641,0.763568342,0.402779162,-0.005028684,0.733755112,0.285636485,-0.01902643,0.71450609,0.216573462,-0.034950957,0.695477962,0.160402894,-0.047894232,0.810592949,0.410002708,-0.015097206,0.787508428,0.299013197,-0.028834751,0.772054017,0.230722472,-0.041851018,0.756379366,0.173533201,-0.052161414,0.861444056,0.438463151,-0.028933179,0.852430642,0.350703061,-0.039672699,0.842936516,0.293349802,-0.045909546,0.832113504,0.241642669,-0.051317647,H
0.804404497,0.737840295,7.71E-08,0.737271786,0.661158085,-0.022172125,0.699120283,0.54545778,-0.03043393,0.681041718,0.450795501,-0.039357305,0.659081459,0.381010234,-0.047611672,0.762007594,0.426284373,0.0005877,0.753860712,0.312808156,-0.016291721,0.75099504,0.245410085,-0.034775004,0.750041723,0.185700566,-0.049492769,0.809542179,0.424447834,-0.004391144,0.81412077,0.302764535,-0.017497754,0.816148043,0.225871608,-0.034034621,0.817214251,0.161400229,-0.047405478,0.852430403,0.449443966,-0.014696698,0.861145556,0.338385761,-0.028087214,0.862949729,0.265974283,-0.042228617,0.861930728,0.204927444,-0.053219475,0.893172264,0.49396342,-0.028280793,0.909024537,0.406863421,-0.039224796,0.91527468,0.348125607,-0.046062198,0.919893801,0.294848919,-0.05167317,H
0.82310003,0.719923496,-8.42E-09,0.739239931,0.673410475,-0.026037119,0.676095426,0.57792592,-0.036831126,0.637359142,0.489872396,-0.047737803,0.598653257,0.429409593,-0.057476383,0.706988633,0.441132575,-0.002467821,0.664788008,0.33727923,-0.021018542,0.640136302,0.27669701,-0.040369965,0.619820058,0.224063143,-0.055712726,0.750662625,0.418770403,-0.006153691,0.716905832,0.302162766,-0.020982562,0.695423186,0.232566267,-0.037482724,0.674116611,0.174597532,-0.050566614,0.796435475,0.424659342,-0.015633054,0.770007074,0.313431889,-0.03080612,0.752230763,0.245001271,-0.044553164,0.733820319,0.187268674,-0.054985791,0.846356332,0.451733828,-0.028649926,0.833975136,0.364941388,-0.040785901,0.822490275,0.307845592,-0.047669966,0.810174584,0.256362855,-0.053207949,H
0.809203267,0.725669503,1.14E-07,0.743896961,0.645470858,-0.022365995,0.710136116,0.530246735,-0.031624798,0.698533177,0.434973806,-0.041137706,0.683679819,0.362859279,-0.049707219,0.779479027,0.417812258,-0.003027536,0.777624249,0.304158807,-0.021192914,0.778791189,0.235890225,-0.039930291,0.781156957,0.176846415,-0.054434817,0.826410413,0.419994533,-0.007903661,0.836021483,0.300283551,-0.022117812,0.842248023,0.224616453,-0.038853154,0.847307146,0.161120355,-0.051883165,0.867964268,0.447466582,-0.017830323,0.88107264,0.335859627,-0.03257576,0.887513757,0.265391111,-0.046538178,0.891147077,0.206304923,-0.05672041,0.906538606,0.493816108,-0.030835547,0.928643763,0.409157962,-0.043422401,0.939825237,0.352022171,-0.050769456,0.949163795,0.300197393,-0.055968173,H
